Title,Takeaway,Authors,Year,Citations,Abstract,Study Type,Journal,Journal SJR Quartile,DOI,Consensus Link
"Determination of Interaction Between Criteria and the Criteria Priorities in Laptop Selection Problem","Brand image and price are the most important criteria in laptop selection, with other/peripheral properties and price having two-thirds priority among six main criteria.","Fatma Sönmez Çakır, Mehmet Pekkaya",2020,15,"The statistic of global laptop shipment showed that 161.6 million laptops were sold, 65.23% more than desktop-PCs, and almost the same quantity as tablets in 2017. So, laptop demand is quite high and needs to be researched on what kind of criteria (properties) are crucial. Since there are more than one criteria, this study focuses on multi-criteria decision-making (MCDM) methods in selecting laptops. This study aims to determine the interaction between criteria, and the criteria priorities in laptop selection problem that can be added/changing new features every day and to present the findings/results to the researcher/decision-makers. DEMATEL method is used for determining the interactions which are not observed in laptop literature, and fuzzy AHP is for criteria priorities. The price and brand image of a laptop have more interrelated action than the other main criteria. According to results, the brand image is determined as the most important criteria. Along with the brand image, other/peripheral properties and price criteria have totally two-thirds priority among six main criteria. The brand image along with the price had a dominant effect on other criteria according to the interaction matrices/diagrams. This study also shows that criteria priority results should be considered along with interaction matrices/diagrams that may produce such following information: speed, storage, monitor and other/peripheral properties criteria have overall effecting feature but not strongly, while brand image is a transition criterion along with having the highest priority, and the price criterion is obviously being affected by all criteria.","theoretical, modeling, or simulation study","International Journal of Fuzzy Systems","2","10.1007/s40815-020-00857-2","https://consensus.app/papers/determination-of-interaction-between-criteria-and-the-akr-pekkaya/748cd832417953428ff34d3fdb823403/"
"Analysing product attributes of refurbished laptops based on customer reviews and ratings: machine learning approach to circular consumption","Brand, design, price, and utility are the most prominent attributes influencing consumers' decision-making when purchasing refurbished laptops, while performance and services often generate neutral or negative sentiments.","Animesh Ghosh, Devanshu Pathak, Prabha Bhola, D. Bhattacharjee, U. Sivarajah",2023,10,"Reviews and ratings of consumers towards a product impact consumer decision-making and their perceptions. Such information is key in measuring consumer satisfaction and net promoter scores. However, when the reviewed products are refurbished, consumer reviews become more important because information influences consumer behaviour and attitude toward looped products. This research explores the decision-influencing attributes of consumers while purchasing refurbished goods using quantitative and qualitative methods. Online after-sales 1986 laptop customers’ review and rating data in the public domain were analysed to reveal the decision-influencing attributes and their impact on potential consumers. The study envisions assisting the operations of sellers in the refurbished market by strengthening their businesses' value proposition and stimulating reverse logistics entrepreneurs to use the opportunity. Review data containing lifecycle valuation of old laptops induced feature extraction by machine learning applications. It is beneficial to sellers in the refurbished product segment. It provides information to strengthen their value proposition and is informative to entrepreneurs wanting to enter the segment. Based on the text analysis of consumer reviews, the study's results show that price, brand, design, performance, services, and utility influence consumers. The frequency analysis technique was used to extract attributes, followed by content analysis and feature selection using SHapley Additive exPlanations (SHAP) for exploring correlations between features and star ratings. Lastly, multinomial logistic regression was used to validate the generated model. The results show that brand, design, price, and utility are the most prominent attributes influencing consumers' decision-making with positive sentiments. In contrast, performance and services often generate neutral and negative sentiments.","cross-sectional study","Annals of Operations Research","1","10.1007/s10479-023-05758-9","https://consensus.app/papers/analysing-product-attributes-of-refurbished-laptops-ghosh-pathak/4e84c43e1c305f9aaaa58af053c8961a/"
"Consumers’ response to environmentally-friendly food packaging - A systematic review","Consumers need guidance in recognizing environmentally-friendly packaging, lack knowledge about new packaging materials, and prioritize other product attributes over environmentally-friendly packaging.","Meike Ketelsen, Meike Janssen, U. Hamm",2020,347,"","systematic review","Journal of Cleaner Production","1","10.1016/j.jclepro.2020.120123","https://consensus.app/papers/consumers-response-to-environmentallyfriendly-food-ketelsen-janssen/6c23aa523f5352b39bbf8c8a4ec7372b/"
"A multigrained preference analysis method for product iterative design incorporating AI-generated review detection","The proposed multigrained user preference analysis method, incorporating AI-generated review detection, effectively analyzes user preferences at the granularity of product attributes and design features, guiding cost control and optimization in product development.","Zhaojing Su, Mei Yang, Qingbo Zhai, Kai Guo, Yuexin Huang, Yang Cong",2025,5,"Online reviews significantly influence consumer purchasing decisions and serve as a vital reference for product improvement. With the surge of generative artificial intelligence (AI) technologies such as ChatGPT, some merchants might exploit them to fabricate deceptive positive reviews, and competitors may also fabricate negative reviews to influence the opinions of consumers and designers. Attention must be paid to the trustworthiness of online reviews. In addition, the opinions expressed by users are limited, and design details hidden behind reviews also affect the product usage experience. Therefore, on the basis of integrated AI-generated review detection, a multigrained user preference analysis method is proposed in this work. The proposed method utilizes pre-trained language models and designs an authenticity detection model for online reviews. Subsequently, attribute-grained preference analysis is considered a text-filling problem and uses the text-infilling objective for domain-adaptive pretraining, facilitating knowledge transfer. On the basis of the feature selection algorithm, a calculation method for the importance of product design features is proposed by introducing a random idea. The proposed method analyzes user preferences at the granularity of product attributes and design features, enabling targeted cost control and optimization in product development and guiding design decisions. Rigorous comparative and few-shot experiments substantiate the superiority of the proposed method.

© 2025. The Author(s).","theoretical, modeling, or simulation study","Scientific Reports","1","10.1038/s41598-025-86551-5","https://consensus.app/papers/a-multigrained-preference-analysis-method-for-product-su-yang/6e7e55700174535fa7ac3eb31cb26dd5/"
"The adoption of digital technologies in supply chains: Drivers, process and impact","Manufacturing firms adopt digital technologies due to technological intelligence and supply chain cooperation, leading to improved supply chain efficiency, structure, sustainability, and innovation.","Miying Yang, Ming-Dung Fu, Zihan Zhang",2021,429,"","theoretical, modeling, or simulation study","Technological Forecasting and Social Change","1","10.1016/j.techfore.2021.120795","https://consensus.app/papers/the-adoption-of-digital-technologies-in-supply-chains-yang-fu/29671026a0c65aa59477bba12f7d3c3e/"
"Navigating Digital Transformation and Technology Adoption: A Literature Review from Small and Medium-Sized Enterprises in Developing Countries","Basic information systems are the primary form of technology adoption in SMEs in developing countries, with community-driven efforts playing a crucial role in promoting adoption.","Jaime Díaz-Arancibia, J. Hochstetter-Diez, Ana Bustamante-Mora, Samuel Sepúlveda-Cuevas, Isidora Albayay, Jeferson Arango-López",2024,124,"This article examines digital transformation and technology adoption within small and medium-sized enterprises (SMEs) in developing countries. It focuses on identifying the mechanisms that facilitate or hinder the integration of new technologies in these contexts, often constrained by specific socioeconomic and cultural factors. The research employed a systematic literature review, adhering to a structured protocol to explore existing studies. Critical stages of this review included defining research questions, developing a comprehensive search strategy, and systematically selecting and analyzing relevant studies from significant databases. The review reveals a significant emphasis on basic information systems as the primary form of technology adoption in SMEs within developing countries, with more advanced technologies like cloud computing and artificial intelligence being less common. Factors such as the entrepreneurial ecosystem and external social influences, including government and private sector initiatives, play pivotal roles in shaping these adoption patterns. This study underscores the critical role of community-driven efforts in promoting technology adoption over initiatives by the public and private sectors. The findings suggest a need for future research to develop tailored technological adoption models that accommodate the unique challenges of SMEs in developing countries. Additionally, more inclusive approaches that consider sociocultural dynamics could further enhance the effectiveness of technology integration strategies in these regions.","systematic review","Sustainability","1","10.3390/su16145946","https://consensus.app/papers/navigating-digital-transformation-and-technology-daz-arancibia-hochstetter-diez/cb248f4f94465fcaa7e874d121f05732/"
"Unveiling the impact of the adoption of digital technologies on firms’ innovation performance","Digital technologies have very low impact on innovation performance, with R&D expenses being the most reliable predictor of innovation.","Antonio Usai, Fabio Fiano, A. Petruzzelli, P. Paoloni, M. F. Briamonte, Beatrice Orlando",2021,470,"","cross-sectional study","Journal of Business Research","1","10.1016/j.jbusres.2021.04.035","https://consensus.app/papers/unveiling-the-impact-of-the-adoption-of-digital-usai-fiano/1b7e49b31cda5517978d3d00996ff2e6/"
"Consumers’ purchase behaviour and green marketing: A synthesis, review and agenda","Consumers' attitudes towards green products are influenced by environmental concerns, eco-labelling, past experiences, and perceived usefulness, while barriers include environmental knowledge, price, perceived risks, organizational image, trust, and willingness to pay.","A. Sharma",2021,312,"<jats:title>Abstract</jats:title><jats:p>The study presents an overview of green marketing and the gap between attitude and actual purchase behaviour of consumers towards green products. A total of 232 studies have been analysed using a systematic review to develop a green purchase decision‐making model. A thematic analysis helped in the identification of three major themes namely; personal factors affecting green purchase; green purchase; and green marketing mix. The concern for eco‐environment, eco‐labelling, past experiences and perceived usefulness have been identified as major influencers of green consumer behaviour. Lack of environmental knowledge, price, perceived associated risks, organizational image, trust, and willingness to pay has been identified as barriers, creating a gap between attitude and actual purchase behaviour of consumers towards green products. On the basis of analysis, a green purchase decision model has been proposed and also potential areas of future research have been suggested.</jats:p>","systematic review","International Journal of Consumer Studies","1","10.1111/ijcs.12722","https://consensus.app/papers/consumers-purchase-behaviour-and-green-marketing-a-sharma/524f94f02621524c9428bea3a0758848/"
"A consumers' Kansei needs mining and purchase intention evaluation method based on fuzzy linguistic theory and multi-attribute decision making method","This paper proposes a CKN mining and purchase intention evaluation method, using fuzzy linguistic theory and multi-attribute decision-making method, to predict consumers' Kansei preferences and rank alternative products.","Pengchao Wang, Jianjie Chu, Suihuai Yu, Chen Chen, Yukun Hu",2024,14,"","","Adv. Eng. Informatics","1","10.1016/j.aei.2023.102267","https://consensus.app/papers/a-consumers-kansei-needs-mining-and-purchase-intention-wang-chu/514efc8a76be554a8114dca0e6671fa0/"
"Survey of feature selection and extraction techniques for stock market prediction","Correlation criteria, random forest, principal component analysis, and autoencoder are the most widely used feature selection and extraction techniques for stock market prediction, with the best prediction accuracy.","Htet Htet Htun, Michael Biehl, N. Petkov",2023,212,"In stock market forecasting, the identification of critical features that affect the performance of machine learning (ML) models is crucial to achieve accurate stock price predictions. Several review papers in the literature have focused on various ML, statistical, and deep learning-based methods used in stock market forecasting. However, no survey study has explored feature selection and extraction techniques for stock market forecasting. This survey presents a detailed analysis of 32 research works that use a combination of feature study and ML approaches in various stock market applications. We conduct a systematic search for articles in the Scopus and Web of Science databases for the years 2011-2022. We review a variety of feature selection and feature extraction approaches that have been successfully applied in the stock market analyses presented in the articles. We also describe the combination of feature analysis techniques and ML methods and evaluate their performance. Moreover, we present other survey articles, stock market input and output data, and analyses based on various factors. We find that correlation criteria, random forest, principal component analysis, and autoencoder are the most widely used feature selection and extraction techniques with the best prediction accuracy for various stock market applications.

© The Author(s) 2023.","systematic review","Financial Innovation","1","10.1186/s40854-022-00441-7","https://consensus.app/papers/survey-of-feature-selection-and-extraction-techniques-for-htun-biehl/1d8948041ae6558ea633224593e30353/"
"Drivers of Digital Transformation in SMEs","Technology context, innovation, corporate regulation, skills, and financial resources are key drivers in digital technology adoption in SMEs, while environmental factors have a marginal impact.","Nessrine Omrani, N. Rejeb, A. Maalaoui, Marina Dabić, S. Kraus",2024,242,"This study aims to identify and analyze factors determining the adoption of digital technologies in SMEs. Drawing on the technology–organization–environment framework, the study highlights enabling factors from three different contexts and hypothesizes their relationship with digital technology adoption. The data used were collected from 15 346 European Union and non-European Union SMEs to test an ordered logit regression model that highlights the factors associated with an increased level of digital technologies adoption in SMEs. The empirical results show that the technology context (IT infrastructure and digital tools) along with the existing level of innovation are the main drivers that act as stepping stones in digital technology adoption. Corporate regulation, available skills, and financial resources (as organizational variables) also play a significant role in the adoption decision. Unexpectedly, the influence of the environmental context is marginal. The implications of this study are emphasized for theory and practice, laying a foundation for further empirical studies in this field. Managerial relevance statement: This article reviews the empirical research on digital technologies adoption and examines the drivers of such adoption in SMEs. The factors identified provide guidance for practitioners adopting digital technologies in SMEs, by suggesting they assess the readiness of their firms before investing in digital technology. This research helps advance the conversation on digitalization drivers especially by bringing the discussion into the organization boundaries, as our findings highlight the predominance of organizational drivers over the technological and environmental ones. SMEs have to overcome the challenges associated with constructing an IT infrastructure capable of implementing new technologies. Indeed, while striving to adopt new digital technologies (e.g., AI, big data, IoT), many SMEs are still unprepared. Therefore, rather than adopting mimetic behaviors based on external pressure, SMEs that aim for digitalization should first assess their existing technologies, and further develop a meticulous technological roadmap that includes skills upgrades and investments in upskilling employees’ capabilities. Therefore, developing a fully integrated strategic approach is crucial before the adoption of digital technologies","cross-sectional study","IEEE Transactions on Engineering Management","1","10.1109/tem.2022.3215727","https://consensus.app/papers/drivers-of-digital-transformation-in-smes-omrani-rejeb/675e52f2655a5053be486bb7f91fa3bf/"
"A Systematic Review of Virtual Reality Features for Skill Training","Virtual Reality features impact skill training in complex, context-dependent ways, with a focus on skill-based learning outcomes and predominantly subjective assessment methods.","H. M. Tusher, S. Mallam, Salman Nazir",2024,61,"The evolving complexity of Virtual Reality (VR) technologies necessitates an in-depth investigation of the VR features and their specific utility. Although VR is utilized across various skill-training applications, its successful deployment depends on both technical maturity and context-specific suitability. A comprehensive understanding of advanced VR features, both technical and experiential, their prospective impact on designated learning outcomes, and the application of appropriate assessment methodologies is essential for the effective utilization of VR technologies. This systematic literature review explored the inherent associations between various VR features employed in professional training environments and their impact on learning outcomes. Furthermore, this review scrutinizes the assessment techniques employed to gauge the effects of VR applications in various learning scenarios. The Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) method was used to systematically select 50 empirical VR studies sourced from three (03) academic databases. The analysis of these articles revealed complex, context-dependent relationships between VR features and their impact on professional training, with a pronounced emphasis on skill-based learning outcomes over cognitive and affective ones. This review also highlights the predominantly subjective nature of the assessment methods used to measure the effects of VR training. Additionally, the findings call for further empirical exploration in novel skill training contexts encompassing cognitive and affective learning outcomes, as well as other potential external factors that may influence learning outcomes in VR.","systematic review","Technology, Knowledge and Learning","1","10.1007/s10758-023-09713-2","https://consensus.app/papers/a-systematic-review-of-virtual-reality-features-for-skill-tusher-mallam/dd13ca8b63a759e480a79ec7fa922fcb/"
"Workplace 4.0: Exploring the Implications of Technology Adoption in Digital Manufacturing on a Sustainable Workforce","Digital manufacturing technology adoption faces challenges like job displacement, employee acceptance, trust, and privacy, requiring targeted interventions at individual and organizational levels for sustainable workforce development.","Natalie Leesakul, A. Oostveen, Iveta Eimontaite, Max L. Wilson, R. Hyde",2022,91,"As part of the Industry 4.0 movement, the introduction of digital manufacturing technologies (DMTs) poses various concerns, particularly the impact of technology adoption on the workforce. In consideration of adoption challenges and implications, various studies explore the topic from the perspective of safety, socio-economic impact, technical readiness, and risk assessment. This paper presents mixed methods research to explore the challenges and acceptance factors of the adoption of human-robot collaboration (HRC) applications and other digital manufacturing technologies from the perspective of different stakeholders: from manufacturing employees at all levels to legal experts to consultants to ethicists. We found that some of the prominent challenges and tensions inherent in technology adoption are job displacement, employee’s acceptance, trust, and privacy. This paper argues that it is crucial to understand the wider human factors implications to better strategize technology adoption; therefore, it recommends interventions targeted at individual employees and at the organisational level. This paper contributes to the roadmap of responsible DMT and HRC implementation to encourage a sustainable workforce in digital manufacturing.","","Sustainability","1","10.3390/su14063311","https://consensus.app/papers/workplace-40-exploring-the-implications-of-technology-leesakul-oostveen/370057cf81bd5927b520c4e238b17a88/"
